"Clay"||"107341608"|"109192543"
"Silty clay"||"107341609"|"109192692"
"Clay"||"107341610"|"109192979"
"Silty clay"||"107341611"|"109192695"
"Silty clay"||"107341612"|"109192548"
"Silty clay loam"||"107341628"|"109192711"
"Clay loam"||"107341629"|"109192566"
"Clay loam"||"107341630"|"109192857"
"Clay loam"||"107341631"|"109192858"
"Loam"||"107341632"|"109192574"
"Loam"||"107341648"|"109192735"
"Silty clay loam"||"107341649"|"109192588"
"Silty clay loam"||"107341650"|"109192879"
|"Bedrock"|"107341651"|"109192880"
"Clay loam"||"107341665"|"109192891"
"Silty clay"||"107341666"|"109192745"
"Silty clay"||"107341667"|"109192603"
|"Bedrock"|"107341668"|"109193038"
|"Cobbles"|"107341685"|"109193181"
|"Bedrock"|"107341686"|"109193142"
"Silty clay"||"107341687"|"109193175"
"Silty clay"||"107341703"|"109193166"
"Silt loam"||"107341704"|"109193157"
"Silty clay"||"107341705"|"109193096"
"Silty clay loam"||"107341706"|"109193135"
|"Cobbles"|"107341707"|"109193097"
"Loam"||"107341708"|"109193136"
"Silty clay"||"107341722"|"109192484"
"Silty clay"||"107341723"|"109192637"
"Silty clay loam"||"107341724"|"109192485"
"Silty clay"||"107341725"|"109192806"
"Silty clay loam"||"107341726"|"109192807"
"Silty clay"||"107341727"|"109192808"
"Silty clay loam"||"107341728"|"109192503"
"Loam"||"107341747"|"109193069"
"Silt loam"||"107341748"|"109193070"
"Loam"||"107341749"|"109193124"
"Silt loam"||"107341750"|"109193083"
"Silt loam"||"107341751"|"109193123"
"Loam"||"107341752"|"109193146"
"Clay"||"107341768"|"109192544"
"Silty clay"||"107341769"|"109192693"
"Silty clay"||"107341770"|"109192545"
"Clay"||"107341771"|"109192694"
"Silty clay"||"107341772"|"109192546"
"Silty clay loam"||"107341790"|"109192996"
"Silty clay"||"107341791"|"109192995"
|"Cobbles"|"107341792"|"109192997"
"Clay loam"||"107341793"|"109193010"
"Clay loam"||"107341794"|"109193009"
"Silty clay loam"||"107341795"|"109192713"
"Clay loam"||"107341810"|"109193011"
"Clay loam"||"107341811"|"109192572"
"Silty clay"||"107341812"|"109193012"
"Silty clay loam"||"107341813"|"109193013"
"Clay loam"||"107341814"|"109193014"
"Silty clay"||"107341830"|"109192732"
"Silty clay"||"107341831"|"109192585"
"Silt loam"||"107341832"|"109192591"
"Silt loam"||"107341833"|"109192738"
"Silty clay loam"||"107341834"|"109192883"
"Loam"||"107341835"|"109192592"
"Loamy coarse sand"||"107341849"|"109192744"
|"Gravel"|"107341850"|"109192602"
|"Bedrock"|"107341851"|"109192895"
|"Gravel"|"107341852"|"109192894"
"Loamy coarse sand"||"107341853"|"109192893"
"Silty clay loam"||"107341866"|"109192767"
"Silty clay loam"||"107341867"|"109193140"
|"Bedrock"|"107341868"|"109193103"
"Silty clay loam"||"107341869"|"109192768"
"Loam"||"107341883"|"109193133"
"Silt loam"||"107341884"|"109193094"
"Loam"||"107341885"|"109193091"
"Silt loam"||"107341886"|"109193132"
"Loam"||"107341887"|"109193092"
"Silt loam"||"107341888"|"109193150"
"Silt loam"||"107341889"|"109193151"
"Loam"||"107341890"|"109193152"
"Loam"||"107341905"|"109193125"
"Silt loam"||"107341906"|"109193086"
|"Cobbles"|"107341907"|"109193126"
"Silty clay"||"107341908"|"109192913"
"Silty clay loam"||"107341909"|"109192914"
"Silty clay"||"107341910"|"109192915"
"Silty clay loam"||"107341924"|"109192640"
"Clay loam"||"107341925"|"109192487"
"Clay loam"||"107341926"|"109192641"
"Clay loam"||"107341927"|"109192789"
"Silty clay loam"||"107341928"|"109192932"
"Silty clay"||"107341943"|"109192501"
"Clay"||"107341944"|"109192654"
"Silty clay"||"107341945"|"109192930"
"Silty clay"||"107341946"|"109192483"
"Clay"||"107341947"|"109192931"
"Silt loam"||"107341966"|"109192917"
"Silty clay loam"||"107341967"|"109193119"
|"Peat"|"107341968"|"109193079"
"Silty clay loam"||"107341969"|"109193120"
|"Peat"|"107341970"|"109193117"
"Silty clay"||"107342002"|"109192977"
"Clay"||"107342003"|"109192978"
"Silty clay"||"107342004"|"109192841"
"Silty clay"||"107342005"|"109192842"
"Clay"||"107342006"|"109192843"
"Clay"||"107342007"|"109192691"
"Silty clay loam"||"107342021"|"109192860"
"Clay loam"||"107342022"|"109192567"
"Clay loam"||"107342023"|"109192712"
"Clay loam"||"107342024"|"109192568"
"Loam"||"107342025"|"109192868"
"Clay"||"107342041"|"109192888"
"Clay"||"107342042"|"109192889"
"Silty clay"||"107342043"|"109192890"
"Clay loam"||"107342044"|"109192892"
"Silty clay"||"107342057"|"109192679"
"Silty clay"||"107342058"|"109192528"
"Silty clay"||"107342059"|"109192958"
"Silty clay loam"||"107342060"|"109192959"
"Silty clay"||"107342061"|"109192960"
"Silty clay loam"||"107342081"|"109192922"
"Silty clay loam"||"107342082"|"109192923"
"Clay loam"||"107342083"|"109192924"
"Silty clay loam"||"107342084"|"109192925"
"Silty clay loam"||"107342085"|"109192627"
"Clay loam"||"107342086"|"109192475"
|"Bedrock"|"107342106"|"109193161"
"Silty clay loam"||"107342107"|"109192956"
"Silty clay loam"||"107342108"|"109193104"
|"Bedrock"|"107342109"|"109193179"
"Silty clay loam"||"107342124"|"109192613"
|"Bedrock"|"107342125"|"109192614"
"Silty clay loam"||"107342126"|"109192765"
"Silty clay loam"||"107342127"|"109192461"
"Silty clay"||"107342128"|"109192809"
"Fine sand"||"107342149"|"109192772"
"Sand"||"107342150"|"109192771"
"Coarse sand"||"107342151"|"109192770"
"Silty clay"||"107342152"|"109192686"
"Clay"||"107342153"|"109192537"
"Silty clay"||"107342154"|"109192836"
"Silty clay"||"107342155"|"109192837"
"Silty clay"||"107342172"|"109192700"
|"Bedrock"|"107342173"|"109192561"
"Clay loam"||"107342174"|"109193000"
"Silty clay loam"||"107342175"|"109192999"
"Fine sand"||"107342176"|"109193001"
"Fine sand"||"107342196"|"109193016"
"Loam"||"107342197"|"109193017"
"Silt loam"||"107342198"|"109192508"
"Silty clay loam"||"107342199"|"109192725"
"Silt loam"||"107342200"|"109193018"
|"Bedrock"|"107342201"|"109192726"
"Fine sand"||"107342202"|"109192579"
"Silty clay"||"107342216"|"109192604"
"Silty clay"||"107342217"|"109192746"
|"Bedrock"|"107342218"|"109192605"
"Silty clay"||"107342219"|"109192747"
"Silty clay"||"107342233"|"109192524"
"Silty clay"||"107342234"|"109192675"
"Silty clay loam"||"107342235"|"109192824"
"Silty clay"||"107342236"|"109192825"
|"Bedrock"|"107342237"|"109192955"
"Silty clay"||"107342254"|"109192906"
"Loam"||"107342255"|"109192755"
"Silt loam"||"107342256"|"109193047"
"Silty clay"||"107342257"|"109192757"
"Clay loam"||"107342258"|"109193052"
"Silty clay"||"107342259"|"109193051"
"Silty clay loam"||"107342260"|"109193053"
"Silty clay loam"||"107342273"|"109193110"
"Silty clay"||"107342274"|"109192908"
"Loam"||"107342275"|"109192909"
|"Bedrock"|"107342276"|"109192910"
"Silty clay"||"107342277"|"109192788"
"Silty clay"||"107342278"|"109192634"
"Sandy loam"||"107342292"|"109192936"
"Sandy loam"||"107342293"|"109192937"
"Sand"||"107341594"|"109192965"
"Fine sand"||"107341595"|"109192531"
|"Cobbles"|"107341597"|"109192835"
"Silty clay loam"||"107341604"|"109192689"
"Silty clay"||"107341607"|"109192542"
"Silty clay"||"107341613"|"109192696"
"Loam"||"107341615"|"109192550"
"Silty clay loam"||"107341624"|"109192564"
"Clay loam"||"107341626"|"109193003"
|"Bedrock"|"107341636"|"109192867"
"Silty clay"||"107341638"|"109192462"
|"Cobbles"|"107341644"|"109192728"
