"Fine sandy loam"||"81280773"|"82715143"
"Coarse sand"||"81280787"|"82715157"
"Sand"||"81280788"|"82715158"
"Fine sand"||"81280789"|"82715159"
"Clay loam"||"81280790"|"82715160"
"Clay loam"||"81280803"|"82715176"
"Loamy sand"||"81280804"|"82715177"
"Sand"||"81280805"|"82715178"
"Clay"||"81280806"|"82715179"
"Clay"||"81280820"|"82715193"
"Clay"||"81280821"|"82715194"
"Clay"||"81280822"|"82715195"
"Clay"||"81280823"|"82715196"
"Silty clay"||"81280837"|"82715211"
"Silty clay loam"||"81280838"|"82715212"
"Silty clay loam"||"81280839"|"82715213"
|"Unweathered bedrock"|"81280840"|"82715214"
"Silty clay"||"81280853"|"82715227"
"Silty clay loam"||"81280854"|"82715228"
"Silty clay"||"81280855"|"82715229"
"Silty clay"||"81280856"|"82715230"
"Clay loam"||"81280857"|"82715231"
"Silty clay"||"81280870"|"82715244"
|"Unweathered bedrock"|"81280871"|"82715245"
"Silty clay loam"||"81280872"|"82715246"
"Silty clay loam"||"81280873"|"82715247"
"Silty clay"||"81280887"|"82715261"
"Silty clay loam"||"81280888"|"82715262"
"Silt loam"||"81280889"|"82715263"
"Silty clay loam"||"81280890"|"82715264"
"Silty clay loam"||"81280904"|"82715278"
"Silty clay loam"||"81280905"|"82715279"
"Silty clay"||"81280906"|"82715280"
"Silt loam"||"81280907"|"82715281"
"Silt loam"||"81280920"|"82715294"
"Silty clay loam"||"81280921"|"82715295"
"Silty clay loam"||"81280922"|"82715296"
|"Unweathered bedrock"|"81280923"|"82715297"
"Silty clay loam"||"81280937"|"82715311"
|"Mucky peat"|"81280938"|"82715312"
|"Muck"|"81280939"|"82715313"
"Clay"||"81280940"|"82715314"
"Silty clay loam"||"81280954"|"82715328"
"Clay loam"||"81280955"|"82715329"
|"Weathered bedrock"|"81280956"|"82715330"
"Silty clay loam"||"81280957"|"82715331"
|"Unweathered bedrock"|"81280970"|"82715344"
"Silty clay"||"81280971"|"82715345"
"Silty clay"||"81280972"|"82715346"
"Silty clay loam"||"81280973"|"82715347"
|"Unweathered bedrock"|"81280974"|"82715348"
"Clay"||"81280987"|"82715361"
"Clay"||"81280988"|"82715362"
"Clay"||"81280989"|"82715363"
"Clay"||"81280990"|"82715364"
"Silty clay loam"||"81281004"|"82715378"
"Silty clay"||"81281005"|"82715379"
"Clay loam"||"81281005"|"82715380"
"Clay"||"81281006"|"82715381"
"Clay"||"81281007"|"82715382"
|"Mucky peat"|"81281021"|"82715397"
|"Peat"|"81281022"|"82715398"
"Clay"||"81281023"|"82715399"
"Clay"||"81281024"|"82715400"
"Silty clay"||"81281024"|"82715401"
|"Unweathered bedrock"|"81281037"|"82715416"
|"Unweathered bedrock"|"81281038"|"82715417"
|"Variable"|"81281039"|"82715418"
"Silty clay"||"81281040"|"82715419"
"Sand"||"81281040"|"82715420"
"Silty clay loam"||"81281054"|"82715434"
|"Unweathered bedrock"|"81281055"|"82715435"
"Silty clay loam"||"81281056"|"82715436"
"Silty clay loam"||"81281057"|"82715437"
"Silty clay"||"81281071"|"82715452"
"Silty clay"||"81281072"|"82715453"
"Clay"||"81281073"|"82715454"
"Silty clay"||"81281074"|"82715455"
"Silty clay"||"81281087"|"82715468"
"Silty clay loam"||"81281088"|"82715469"
