StreamStats Gage Page

Gage Information
Name,Value
USGS Station Number,"16614000"
Station Name,"Waihee River at Dam near Waihee, Maui, HI"
Station Type,"Gaging Station, continuous record"
Latitude,"20.93596"
Longitude,"-156.5469"
NWIS Latitude,"20.9358611"
NWIS Longitude,"-156.5468333"
Is regulated?,"false"
Agency,"United States Geological Survey"
NWIS Discharge Period of Record,"1983-10-31 - 2023-11-30"

Physical Characteristics

"Precipitation Statistics"
"Characteristic Name","Value","Units","Citation"
"24 Hour 2 Year Precipitation","9.263479","inches","150"
"24 Hour 10 Year Precipitation","14.5606","inches","150"
"24 Hour 25 Year Precipitation","17.82591","inches","150"
"24 Hour 50 Year Precipitation","20.43974","inches","150"
"24 Hour 100 Year Precipitation","23.16301","inches","150"
"Mean Annual Precipitation","152.741","inches","150"
"6 Hour 100 Year Precipitation","12.74324","inches","150"
"48 Hour 2 Year Precipitation","12.63539","inches","150"
"48 Hour 5 Year Precipitation","16.81904","inches","150"
"I60M2Y","3.224484","inches","150"
"I60M5Y","4.111785","inches","150"
"I60M10Y","4.799974","inches","150"
"I60M25Y","5.744078","inches","150"
"I60M50Y","6.495815","inches","150"
"I60M100Y","7.282637","inches","150"
"I60M500Y","9.288178","inches","150"
"6 Hour 2 Year Precipitation","5.754053","inches","150"
"I6H5Y","7.418527","inches","150"
"I6H10Y","8.658465","inches","150"
"I6H25Y","10.28939","inches","150"
"I6H50Y","11.51535","inches","150"
"I6H500Y","15.69382","inches","150"
"24 Hour 5 Year Precipitation","12.21386","inches","150"
"24 Hour 500 Year Precipitation","30.14744","inches","150"
"I48H10Y","20.17953","inches","150"
"I48H25Y","24.91288","inches","150"
"I48H50Y","28.74165","inches","150"
"I48H100Y","32.77627","inches","150"
"I48H500Y","43.28036","inches","150"
"I60M50Y","6.6","inches","231"
"I60M100Y","7.4","inches","231"
"I60M10Y","4.9","inches","231"
"I60M25Y","5.8","inches","231"
"6 Hour 2 Year Precipitation","5.8","inches","231"
"I6H5Y","7.5","inches","231"
"I60M500Y","9.4","inches","231"
"I60M2Y","3.3","inches","231"
"I60M5Y","4.2","inches","231"
"Mean Annual Precipitation","185.8","inches","231"
"24 Hour 50 Year Precipitation","20.7","inches","231"
"24 Hour 100 Year Precipitation","23.5","inches","231"
"24 Hour 10 Year Precipitation","14.8","inches","231"
"24 Hour 25 Year Precipitation","18.1","inches","231"
"48 Hour 5 Year Precipitation","17","inches","231"
"I48H10Y","20.4","inches","231"
"24 Hour 500 Year Precipitation","30.6","inches","231"
"48 Hour 2 Year Precipitation","12.8","inches","231"
"I6H50Y","11.7","inches","231"
"6 Hour 100 Year Precipitation","12.9","inches","231"
"I6H10Y","8.8","inches","231"
"I6H25Y","10.4","inches","231"
"24 Hour 5 Year Precipitation","12.4","inches","231"
"I6H500Y","15.9","inches","231"
"24 Hour 2 Year Precipitation","9.4","inches","231"
"I48H50Y","29","inches","231"
"I48H100Y","33.1","inches","231"
"I48H25Y","25.2","inches","231"
"I48H500Y","43.7","inches","231"

"Basin Dimensional Characteristics"
"Characteristic Name","Value","Units","Citation"
"Compactness Ratio","1.688443","dimensionless","150"
"Drainage Area","4.268428","square miles","150"
"Basin Perimeter","12.365889","miles","150"
"Drainage Area","4.27","square miles","231"
"Basin Perimeter","12.4","miles","231"
"Compactness Ratio","1.69","dimensionless","231"

"Topographical Characteristics"
"Characteristic Name","Value","Units","Citation"
"Maximum Basin Elevation","5696.045494","feet","150"
"Mean Basin Elevation","2653.866411","feet","150"
"Minimum Basin Elevation","601.374471","feet","150"
"Relative Relief","411.993889","feet per mi","150"
"Relief","5095","feet","150"
"Mean Basin Slope from 10m DEM","111.0226","percent","150"
"Slopes gt 30pct from 10m NED","94.458164","percent","150"
"ELEV10FT","714.765827","feet","150"
"ELEV10FT3D","714.765827","feet","150"
"ELEV85FT","2523.482642","feet","150"
"ELEV85FT3D","2527.064644","feet","150"
